state,token,bearers,transmitted,modal_position
bihar,devi,22117652,0.0012702071630388253,last
bihar,kumar,9856403,0.07282879971527138,last
bihar,kumari,3389483,0.0014807567997833298,last
bihar,singh,3161083,0.9362851275970925,last
bihar,khatun,2995122,0.0026235993058045717,last
bihar,yadav,2322432,0.9343550209435626,last
bihar,ram,2187663,0.6750715260988552,last
bihar,sah,1466732,0.9616405723745033,last
bihar,ray,1417893,0.9592860674253981,last
bihar,mohammad,1318039,0.5918277076778456,first
bihar,paswan,1308973,0.9603062859203361,last
bihar,mo,1271122,0.5745042568691282,first
bihar,prasad,1257331,0.4752718257960712,last
bihar,mahato,1010970,0.9761723888938346,last
bihar,mandal,819536,0.9666311180960934,last
bihar,sharma,815589,0.8484322373156087,last
bihar,alam,781780,0.13657294891145846,last
bihar,chaudhary,771039,0.9546624749202051,last
bihar,thakur,656347,0.968373436612036,last
bihar,das,621391,0.9264891187674106,last
bihar,jha,511731,0.9635179420437691,last
bihar,ansari,511641,0.6971939309007683,last
bihar,manjhi,500086,0.9485888427190523,last
bihar,sahni,484906,0.9741125084036906,last
bihar,sunita,478950,7.516442217350454e-05,first
bihar,sanjay,420088,0.0007379406219649216,first
bihar,anita,393463,0.00010928600656224346,first
bihar,manoj,375437,0.0005806566747550188,first
bihar,praveen,372295,0.001230207228138976,last
bihar,raj,351440,0.019673343956294106,last
bihar,manju,343865,8.433542233143821e-05,first
bihar,lal,343852,0.18407047217989134,last
bihar,santosh,342871,0.0005949759530552307,first
bihar,pandit,342403,0.9739020978204046,last
bihar,geeta,335944,8.632391112804516e-05,first
bihar,meena,332703,0.00010820461492682663,first
bihar,rajesh,330321,0.000684182961422374,first
bihar,begam,325974,0.0013712750096633473,last
bihar,mishra,322815,0.963815188265725,last
bihar,bibi,318686,0.0010355020302115561,first
bihar,rita,308576,8.425801099242974e-05,first
bihar,vijay,300443,0.001967095256005299,last
bihar,rekha,299592,9.679831237149189e-05,first
bihar,sunil,295727,0.0005917619967064218,first
bihar,shanti,288196,0.0001457341531457758,first
bihar,shankar,284188,0.011928723239545653,middle
bihar,anil,274127,0.0008244353894362832,first
bihar,mukesh,271865,0.0005591010244054954,first
bihar,sangeeta,271772,0.0001287844222362863,first
bihar,ashok,270380,0.0008469561358088616,last
bihar,ali,266009,0.20447428470465284,last
bihar,soni,262493,0.02914744393183818,last
bihar,gupta,261101,0.48103224422732965,last
bihar,lalita,258657,0.00013531433520067116,first
bihar,sita,258311,0.0016453035294664185,first
bihar,kiran,256508,0.0005808785690894631,last
bihar,ajay,253101,0.0008099533387857022,first
bihar,asha,253043,8.694174507889964e-05,first
bihar,reena,252237,8.325503395616027e-05,first
bihar,usha,249889,3.201421431115415e-05,first
bihar,krishna,248622,0.007284150236101391,last
bihar,ranjit,247209,0.0005986837048812947,first
bihar,khan,245399,0.8917762501069687,last
bihar,narayan,245196,0.05112236741219269,middle
bihar,vinod,242971,0.0007120191298550033,last
bihar,ranjan,236543,0.02896724908367612,last
bihar,nisha,236518,0.0006764812826085118,last
bihar,renu,235601,0.00014855624551678474,first
bihar,sinha,222920,0.39850170464740714,last
bihar,mamta,222411,7.643506840938622e-05,first
bihar,saav,221099,0.9592987756615815,last
bihar,prakash,219363,0.03066606492434914,last
bihar,sarita,219217,0.00010491887034308471,first
bihar,rani,219153,0.0001916469315957345,last
bihar,ahmad,218168,0.24003061860584504,last
bihar,chandan,216192,0.0006984532267613972,first
bihar,mukhiya,212860,0.9569012496476558,last
bihar,pandey,212387,0.9263420077500035,last
bihar,umesh,209617,0.0004150426730656388,first
bihar,pinkie,208507,6.71440287376443e-05,first
bihar,shiv,206161,0.010976857892617906,first
bihar,babita,205538,0.00010703616849439033,first
