state,rows,usable_share,relative_has_surname,shared_share,method_applies,position_first,position_middle,position_last
bihar,69943602,0.9708195897603329,0.9790432825573341,0.38435298055292977,True,0.06771726301981097,0.020096155445121253,0.9121865815350678
uttar_pradesh,127832374,0.4404642207458339,0.665997869802867,0.20549603718721554,True,0.09878039768982959,0.039117243525062496,0.8621023587851079
west_bengal,60312329,0.9216794960778252,0.9786158455369215,0.736140841157879,True,0.024936300535279312,0.025891187683136113,0.9491725117815846
punjab,18748931,0.8982707867451216,0.9763507862695132,0.4264076305737151,True,0.012266142200246915,0.013480391132975018,0.974253466666778
maharashtra,83029252,0.9753950932859181,0.9833600055317981,0.9410783610689829,True,0.9660115890316798,0.0029525098892627722,0.031035901079057446
gujarat,23743701,0.9967762818441825,0.007901413426994488,0.0003452463536179545,False,0.44535552563945663,0.0653530779586342,0.4892913964019092
kerala,21830399,0.380475821811594,0.450203643441157,0.18938388543426576,False,0.05296657175315367,0.07292955993314731,0.874103868313699
tamil_nadu,54601639,0.07203443105434985,0.2994781854358718,0.06414093569660109,False,0.3251598428723754,0.10339742903689962,0.5714427280907249
odisha,32508406,0.9844420855332002,0.9889269770624882,0.8131380898758893,True,0.013046483344764437,0.01864704513405441,0.9683064715211811
rajasthan,42680004,0.32856754183996795,0.6117510160259408,0.24107212129786618,True,0.04043047750440896,0.023451037650512423,0.9361184848450786
