state,people,top20_first,top20_last,surname_position,ratio
meghalaya,506917,0.03532762517763765,0.44897077364122984,last,0.07868580150802369
nagaland,132287,0.04157326652476124,0.29444225779762717,last,0.14119327448349794
andaman,175652,0.07737907548716655,0.42538956348250834,last,0.1819016782021929
arunachal,498090,0.07806630769889963,0.13602421958338942,last,0.5739147626650504
assam,1927272,0.11211044259440506,0.589187419140729,last,0.19027976319980988
goa,540026,0.12206307768291823,0.413986899466027,last,0.2948476819927368
odisha,11724049,0.12372044916955219,0.8289334855675201,last,0.14925256528254296
chandigarh,433880,0.13530264153729718,0.6279711962234229,last,0.21545994840368202
delhi,7099552,0.1492300974168211,0.48502214540271754,last,0.30767687379081265
sikkim,376388,0.15206271263536178,0.702575159784331,last,0.2164362211183788
tripura,892875,0.15389948278681365,0.7568406044797266,last,0.2033446433448275
puducherry,100373,0.17091628590078328,0.20775152357532342,last,0.8226957037877752
uttarakhand,1817409,0.1745603483095738,0.9552811081005531,last,0.1827319171596132
mizoram,203305,0.18291874470927802,0.1953849790226319,last,0.9361965573008051
himachal,1834124,0.18927531996514924,0.9599287719541205,last,0.19717642130867974
karnataka,1042983,0.23016356280583522,0.45902187909591846,last,0.5014217693918237
jharkhand,2023549,0.24604788646498413,0.8537459223828258,last,0.288198022402565
andhra,936759,0.24645628856169746,0.2480882954382164,last,0.9934216691938803
west_bengal,4543432,0.25745381176983506,0.7899938469307043,last,0.325893439259177
bihar,9396901,0.27752271464270506,0.9758737350631539,last,0.2843838343745824
punjab,11026093,0.27767361264732926,0.9955678717225086,last,0.2789097765548669
kerala,1022935,0.2821297753263042,0.5750549560351719,last,0.4906135880846984
haryana,3244777,0.2876448673710787,0.9559667058270966,last,0.3008942315854087
rajasthan,3023241,0.29052952506501145,0.9722443563050382,last,0.298823565476022
madhya_pradesh,1808231,0.3049212373612215,0.9384344766930519,last,0.3249254422490242
uttar_pradesh,10111831,0.30971340462421915,0.9433380543544769,last,0.32831645367699597
manipur,348503,0.31876334027247094,0.26070282742349554,first,0.8178569944732456
dadra,155126,0.32539933524799125,0.09463826164354405,first,0.29083729249606166
daman,221112,0.3760583531798136,0.16817850398300824,first,0.44721385008723125
jk,152423,0.4992972177705383,0.5059270886009444,last,0.9868956002163477
tamil_nadu,357147,0.6083561914752745,0.8056628128858457,last,0.7551002500614019
telugu,2085819,0.7684532294246857,0.715723317351586,first,0.9313817548628472
gujarat,3851745,0.8181182814542499,0.2482687480462401,first,0.30346314667963276
maharashtra,7342180,0.8205670560374999,0.31859695077295763,first,0.3882643696560952
