last_name,n_sc,n_not_sc,p_sc,n_roll
devi,499864.0,1796771.0,0.21765060621300295,45217621.0
singh,1300614.0,6975757.0,0.15714786106132747,30446816.0
kumar,451113.0,1486172.0,0.23285835589497672,28103693.0
ram,1316884.0,1623053.0,0.44792932637672167,7358535.0
lal,690141.0,1516007.0,0.3128262473777825,6271168.0
das,785592.0,991986.0,0.44194516358775815,5600389.0
khatun,1117.0,169408.0,0.006550359184870254,5552605.0
kumari,10135.0,41769.0,0.19526433415536376,5471390.0
kaur,101294.0,221435.0,0.31386705254253566,5452715.0
yadav,19542.0,1981123.0,0.009767752222386057,4979169.0
sahu,3958.0,653533.0,0.006019854264164833,4962975.0
prasad,194810.0,766262.0,0.2027007341801655,4402754.0
khan,11315.0,696295.0,0.015990446714998375,4281578.0
ali,4524.0,993209.0,0.004534279210971272,4239023.0
ray,77282.0,575457.0,0.1183964800632412,3865722.0
mandal,276018.0,990967.0,0.2178541971688694,3683632.0
bibi,378.0,237464.0,0.0015892903692367201,3569823.0
bai,102828.0,429007.0,0.19334568052121429,3415827.0
sharma,9366.0,623745.0,0.014793614389893715,3356158.0
patil,9921.0,478356.0,0.020318384851221744,2841116.0
begam,271.0,43190.0,0.006235475483767056,2728983.0
pal,108795.0,548703.0,0.16546818393363935,2719379.0
ahmad,1176.0,151434.0,0.0077059170434440735,2365627.0
mahato,9240.0,160047.0,0.05458186393521062,1990923.0
gupta,2121.0,179988.0,0.011646870830107243,1938092.0
ghosh,5760.0,485447.0,0.011726217256675902,1776150.0
rani,7980.0,18595.0,0.30028222013170275,1724155.0
sah,4947.0,715708.0,0.006864588464660621,1706043.0
prakash,50195.0,147102.0,0.25441339706128324,1690520.0
jadhav,31395.0,252544.0,0.11056952373573196,1680191.0
chand,80080.0,197152.0,0.28885554337161656,1667566.0
ansari,647.0,262650.0,0.0024573010706540523,1650550.0
raut,12136.0,132970.0,0.08363541135445812,1613745.0
paswan,530566.0,63678.0,0.8928419975632905,1448734.0
alam,859.0,216736.0,0.003947701004159103,1441230.0
bhoi,58027.0,100539.0,0.36594856400489384,1430669.0
mishra,1038.0,215712.0,0.004788927335640138,1427978.0
pavar,1225.0,19397.0,0.059402579769178544,1314246.0
bano,168.0,22790.0,0.007317710601968812,1263785.0
chaudhary,25644.0,77845.0,0.24779445158422633,1214035.0
chandra,54021.0,144162.0,0.2725814020375108,1198561.0
barman,255268.0,43810.0,0.8535164739633139,1182100.0
thakur,4180.0,376681.0,0.010975132659946804,1178313.0
nayka,18.0,20532.0,0.0008759124087591241,1162352.0
pradhana,20.0,239.0,0.07722007722007722,1134669.0
shinde,19206.0,165585.0,0.10393363313148368,1125548.0
varma,7525.0,52328.0,0.1257246921624647,1049797.0
babu,17443.0,51332.0,0.2536241366775718,1014591.0
mahapatra,344.0,24323.0,0.013945757489763651,990719.0
narayan,24426.0,113406.0,0.17721574090196762,989056.0
chavan,6084.0,95598.0,0.059833598867056116,971836.0
malik,213119.0,63368.0,0.7708102008412692,970459.0
sing,18465.0,158788.0,0.10417313106125144,945250.0
shankar,26825.0,100260.0,0.2110791989613251,924824.0
kamble,69540.0,15099.0,0.8216070605749123,883832.0
nath,46192.0,178613.0,0.20547585685371766,874781.0
ramesh,1478.0,3058.0,0.32583774250440917,870463.0
saha,32523.0,109384.0,0.22918531150683194,841638.0
patel,5459.0,725437.0,0.007468914866136906,808394.0
tiwari,569.0,150804.0,0.003758926624959537,782045.0
gayakawad,607.0,1134.0,0.34865020103388855,774718.0
behera,183232.0,315009.0,0.36775777184133784,761255.0
